;;;Rg;Identité;Total;1;2;3;4;5;6;F;MG;MF;courses par catégorie d'âge;catégorie d'âge;CHPT DPT route;ROUTE;CHPT DPT clm;CLM INDIV;CHPT DPT cyclo-cross;CYCLO-CROSS;% route;% CLM;% CYCLO-CROSS;;;;;;;;;;;;;;
non utilisé;non utilisé;19000,114;11.;71-BOSC Raoul;19;0;0;19;0;0;0;0;0;0;0;V;1;13;0;5;0;0;73,68;26,32;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;19000,0781;12.;71-MARGUIN Damien;19;0;17;0;0;0;0;0;0;0;2;J;1;11;0;5;1;1;63,16;26,32;10,53;;;;;;;;;;;;;;
non utilisé;non utilisé;18000,1156;13.;71-BONIN Justin(cadet);18;0;0;14;4;0;0;0;0;0;0;C;1;14;0;3;0;0;83,33;16,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;18000,0722;14.;71-PAGAND Arnaud;18;0;0;0;0;17;0;0;0;0;1;V;1;12;0;5;0;0;72,22;27,78;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;18000,0673;15.;71-PRONCHERY Mickaël;18;0;12;0;0;0;0;0;0;0;6;SV;0;13;0;0;1;4;72,22;0,00;27,78;;;;;;;;;;;;;;
non utilisé;non utilisé;18000,0593;16.;71-VALLEZ Francis;18;0;0;0;0;2;9;0;0;0;7;SA;1;11;0;0;1;5;66,67;0,00;33,33;;;;;;;;;;;;;;
non utilisé;non utilisé;17000,1033;17.;71-DEGLUAIRE Jean-Michel;17;0;0;0;3;13;0;0;0;0;1;A;1;14;0;2;0;0;88,24;11,76;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;17000,0956;18.;71-FAYRAC Christian;17;0;0;0;0;14;0;0;0;0;3;A;1;12;0;4;0;0;76,47;23,53;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;17000,085;19.;71-JOLY Rémi(cadet);17;0;0;11;5;0;0;0;0;0;1;C;1;11;0;5;0;0;70,59;29,41;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;17000,0814;20.;71-LEMAITRE Julian;17;0;16;0;0;0;0;0;0;0;1;J;1;12;0;3;1;0;76,47;17,65;5,88;;;;;;;;;;;;;;
non utilisé;non utilisé;17000,065;21.;71-RICHARD Cédric;17;0;0;0;0;16;0;0;0;0;1;V;1;11;0;5;0;0;70,59;29,41;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;16000,116;22.;71-BIDALOT Gilles;16;0;0;0;16;0;0;0;0;0;0;SV;1;12;0;3;0;0;81,25;18,75;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;16000,1122;23.;71-BRIOTTET Benoit;16;0;0;16;0;0;0;0;0;0;0;V;1;14;0;1;0;0;93,75;6,25;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;16000,0816;24.;71-LEMAITRE Cédric;16;0;0;0;16;0;0;0;0;0;0;V;1;11;0;4;0;0;75,00;25,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;16000,0664;25.;71-RABUT Lucas;16;0;0;15;0;0;0;0;0;0;1;S;1;8;0;6;1;0;56,25;37,50;6,25;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,1146;26.;71-BONNET Andréas;15;0;0;0;15;0;0;0;0;0;0;E;1;13;0;1;0;0;93,33;6,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,1136;27.;71-BOUCROT Léon;15;0;0;0;0;0;0;0;13;0;2;M;1;12;0;0;1;1;86,67;0,00;13,33;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,1101;28.;71-CASCIELLO Geoffrey;15;0;0;14;0;0;0;0;0;0;1;V;1;11;0;5;0;0;80,00;33,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,1067;29.;71-COGNARD Cyril;15;0;0;0;5;10;0;0;0;0;0;V;1;12;0;2;0;0;86,67;13,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0978;30.;71-DZIDUCH Hélène(F);15;0;0;0;0;0;12;0;0;0;3;SV;1;8;0;6;0;0;60,00;40,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0744;31.;71-MORIEUX Bruno;15;0;0;14;0;0;0;0;0;0;1;A;1;14;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0713;32.;71-PEGAZ Mickaël;15;0;0;0;13;0;0;0;0;0;2;S;1;10;0;2;1;1;73,33;13,33;13,33;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0691;33.;71-PILLON-BRAILLON Stéphanie(F);15;0;0;0;0;1;10;0;0;0;4;SV;1;7;0;7;0;0;53,33;46,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0675;34.;71-PRIN Célestin;15;0;15;0;0;0;0;0;0;0;0;S;1;12;0;2;0;0;86,67;13,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0659;35.;71-RAYMOND Thierry;15;0;0;0;0;15;0;0;0;0;0;A;0;15;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0655;36.;71-REICHHART Victor;15;0;0;13;1;0;0;0;0;0;1;S;1;14;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;15000,0577;37.;71-VILLEROT Laurent;15;0;0;0;0;14;0;0;0;0;1;SV;1;13;0;1;0;0;93,33;6,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;14000,1205;38.;71-BADEZ Alain;14;0;0;0;0;0;12;0;0;0;2;SA;1;6;0;7;0;0;50,00;50,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;14000,118;39.;71-BERARD Jean-Philippe;14;0;13;0;0;0;0;0;0;0;1;A;1;10;0;4;1;1;78,57;28,57;14,29;;;;;;;;;;;;;;
non utilisé;non utilisé;14000,0823;40.;71-LE BON Brieg;14;0;14;0;0;0;0;0;0;0;0;J;1;9;0;4;0;0;71,43;28,57;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,1124;41.;71-BRIEL Eric;13;0;0;0;0;12;0;0;0;0;1;A;1;8;0;4;0;0;69,23;30,77;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,1008;42.;71-DI CENTA Yvan;13;0;0;0;0;0;11;0;0;0;2;SA;1;5;0;7;0;0;46,15;53,85;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0995;43.;71-DUCOTE Juline(F);13;0;0;0;0;4;7;0;0;0;2;J;1;10;0;1;1;1;84,62;7,69;15,38;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0896;44.;71-GOURGIN Jean-Philippe;13;0;0;0;0;13;0;0;0;0;0;A;1;12;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0795;45.;71-MACIASZEK Guillaume;13;0;0;6;6;0;0;0;0;0;1;S;1;11;0;1;0;0;92,31;7,69;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0782;46.;71-MARGUIN Baptiste;13;0;12;0;0;0;0;0;0;0;1;J;1;7;0;4;1;0;61,54;30,77;7,69;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0642;47.;71-RODET Thibaut;13;0;10;0;0;0;0;0;0;0;3;S;1;8;0;1;1;2;69,23;7,69;23,08;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0626;48.;71-RYNIKIEWICZ Christophe;13;0;0;0;0;9;0;0;0;0;4;SV;1;8;0;0;1;3;69,23;0,00;30,77;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0621;49.;71-SAVART Mickael;13;0;8;0;0;0;0;0;0;0;5;S;0;7;0;1;1;4;53,85;7,69;38,46;;;;;;;;;;;;;;
non utilisé;non utilisé;13000,0603;50.;71-TILLIER Jacky;13;0;0;0;0;0;13;0;0;0;0;SA;1;12;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,1192;51.;71-BARRAUD Serge;12;0;0;0;0;6;6;0;0;0;0;A;1;10;0;1;0;0;91,67;8,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,1182;52.;71-BELLEVRAT Titien;12;0;0;0;0;0;0;0;12;0;0;M;1;9;0;2;0;0;83,33;16,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,1139;53.;71-BOSC Richard;12;0;0;0;0;12;0;0;0;0;0;SV;1;7;0;4;0;0;66,67;33,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,1138;54.;71-BOSC Vanessa(F);12;0;0;0;0;0;0;12;0;0;0;V;1;10;0;1;0;0;91,67;8,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,1014;55.;71-DESGOUILLES Julien;12;0;0;11;0;0;0;0;0;0;1;V;1;10;0;1;0;0;91,67;8,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,1011;56.;71-DESTRIGNEVILLE Vincent;12;0;11;0;0;0;0;0;0;0;1;V;1;10;0;1;0;0;91,67;8,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0934;57.;71-GALLET Claude;12;0;0;0;11;0;0;0;0;0;1;A;1;11;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0831;58.;71-LAROCHE Hélona;12;0;0;0;0;0;0;0;0;12;0;M;1;11;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0789;59.;71-MAILLOT Mael;12;0;0;5;6;0;0;0;0;0;1;J;1;10;0;1;0;0;91,67;8,33;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,078;60.;71-MARGUIN Laurent;12;0;0;0;0;12;0;0;0;0;0;V;1;8;0;3;0;0;75,00;25,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0714;61.;71-PEGAZ Dylan;12;0;0;0;1;3;7;0;0;0;1;E;1;11;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0697;62.;71-PICARD Odette(F);12;0;0;0;0;0;12;0;0;0;0;A;1;9;0;2;0;0;83,33;16,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0693;63.;71-PICHARD Jean-Louis;12;0;0;0;0;0;12;0;0;0;0;SA;1;11;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;12000,0672;64.;71-PROTHIAU Madeleine(F);12;0;0;0;0;0;11;0;0;0;1;A;1;6;0;5;0;0;58,33;41,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,1186;65.;71-BEAUFILS Christophe;11;0;8;3;0;0;0;0;0;0;0;SV;1;10;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,1185;66.;71-BEAUSOLEIL Laurent;11;0;9;0;0;0;0;0;0;0;2;SV;0;9;0;0;0;2;81,82;0,00;18,18;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,1174;67.;71-BERNE Olivier;11;0;0;0;0;11;0;0;0;0;0;A;1;9;0;1;0;0;90,91;9,09;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,1169;68.;71-BERTOUX Christian;11;0;0;0;0;11;0;0;0;0;0;A;1;10;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0981;69.;71-DUT Thierry;11;0;0;0;0;3;8;0;0;0;0;A;1;10;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0927;70.;71-GAUTHIER Cléa(F);11;0;0;0;0;0;0;11;0;0;0;S;1;10;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0926;71.;71-GAUTHIER Frédéric;11;0;0;0;0;0;11;0;0;0;0;A;1;9;0;1;0;0;90,91;9,09;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0791;72.;71-MAILLIOT Marc;11;0;0;0;0;4;7;0;0;0;0;SA;1;10;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0767;73.;71-MEJNAOUI Driss;11;0;8;2;0;0;0;0;0;0;1;J;0;9;0;2;0;0;81,82;18,18;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0701;74.;71-PERROUX Cyril;11;0;0;0;6;0;0;0;3;0;2;C;0;9;0;0;1;1;81,82;0,00;18,18;;;;;;;;;;;;;;
non utilisé;non utilisé;11000,0582;75.;71-VIAU Daniel;11;0;0;11;0;0;0;0;0;0;0;V;1;10;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,1158;76.;71-BIGARNET Mathieu;10;0;10;0;0;0;0;0;0;0;0;S;1;7;0;2;0;0;80,00;20,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,1123;77.;71-BRIEL Sylvain;10;0;0;0;0;10;0;0;0;0;0;A;1;8;0;1;0;0;90,00;10,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,1066;78.;71-COGNARD Serge;10;0;0;0;4;6;0;0;0;0;0;SA;1;8;0;1;0;0;90,00;10,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,1026;79.;71-DEMONGEOT Andréas;10;0;0;0;0;0;0;0;10;0;0;M;1;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0941;80.;71-FOURNIER Pascal;10;0;0;0;0;10;0;0;0;0;0;A;1;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0883;81.;71-GUICHARD Eliott;10;0;10;0;0;0;0;0;0;0;0;E;1;7;0;2;0;0;80,00;20,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0784;82.;71-MANGINI Mattéo;10;0;10;0;0;0;0;0;0;0;0;S;1;7;0;2;0;0;80,00;20,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,07;83.;71-PERROUX Mathieu;10;0;8;0;0;0;0;0;0;0;2;E;0;5;0;3;1;1;50,00;30,00;20,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0678;84.;71-PRECHEUR Nicolas;10;0;0;10;0;0;0;0;0;0;0;SV;1;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0653;85.;71-RENOUARD Vitali;10;0;0;0;0;0;0;0;10;0;0;M;1;8;0;1;0;0;90,00;10,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0602;86.;71-TINGA Lucas;10;0;10;0;0;0;0;0;0;0;0;S;1;8;0;1;0;0;90,00;10,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0583;87.;71-VEUILLET Morgan;10;0;10;0;0;0;0;0;0;0;0;S;1;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;10000,0575;88.;71-VUILLEMIN André;10;0;0;0;0;1;5;0;0;0;4;SA;1;6;0;0;0;3;70,00;0,00;30,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,122;89.;71-ANGEVELLE Athérys(cadet);9;0;0;0;3;6;0;0;0;0;0;C;1;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,1202;90.;71-BAILLY Marius;9;0;0;1;7;0;0;0;0;0;1;S;0;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,1161;91.;71-BICHARD Vincent;9;0;0;2;7;0;0;0;0;0;0;S;1;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,1127;92.;71-BRAGA Georges;9;0;0;0;8;0;0;0;0;0;1;SV;0;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,1087;93.;71-CHARLAT David;9;0;9;0;0;0;0;0;0;0;0;V;0;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0878;94.;71-GUILLET Olivier;9;0;0;9;0;0;0;0;0;0;0;SV;1;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0829;95.;71-LARUE Manon;9;0;0;0;2;3;1;2;0;0;1;S;0;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0822;96.;71-LE BON Yann;9;0;0;0;0;9;0;0;0;0;0;V;0;8;0;1;0;0;88,89;11,11;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0806;97.;71-LONJARET Paul;9;0;9;0;0;0;0;0;0;0;0;E;1;3;0;6;0;0;44,44;66,67;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0799;98.;71-LUCA Ludovic;9;0;0;7;0;0;0;0;0;0;2;V;1;6;0;0;0;2;77,78;0,00;22,22;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0737;99.;71-MULAS Anthony;9;0;8;0;0;0;0;0;0;0;1;S;0;2;0;7;0;0;22,22;77,78;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0719;100.;71-PANNEQUIN Robert;9;0;0;0;9;0;0;0;0;0;0;SA;1;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0699;101.;71-PETIOT Kylian;9;0;0;0;0;0;0;0;7;0;2;M;1;6;0;0;1;1;77,78;0,00;22,22;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0687;102.;71-PIQUEREZ Thibaut;9;0;3;3;3;0;0;0;0;0;0;J;1;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0658;103.;71-REBILLARD Enzo;9;0;9;0;0;0;0;0;0;0;0;E;1;6;0;2;0;0;77,78;22,22;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0641;104.;71-RODOT Jocelyn;9;0;0;0;2;7;0;0;0;0;0;A;1;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0639;105.;71-RODRIGUES Julien;9;0;0;0;9;0;0;0;0;0;0;V;0;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;9000,0622;106.;71-SAUNIER Philippe;9;0;0;0;9;0;0;0;0;0;0;A;0;9;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1173;107.;71-BERNOLLIN Jérémy;8;0;8;0;0;0;0;0;0;0;0;V;1;4;0;3;0;0;62,50;37,50;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1097;108.;71-CHALMANDRIER Christian;8;0;0;8;0;0;0;0;0;0;0;A;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1095;109.;71-CHAMPMARTIN Eldwin;8;0;8;0;0;0;0;0;0;0;0;S;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,104;110.;71-DAUVILLAIRE Pierre Fabien;8;0;7;0;0;0;0;0;0;0;1;V;0;2;0;5;1;0;25,00;62,50;12,50;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1022;111.;71-DEMONT Tom(cadet);8;0;0;0;0;8;0;0;0;0;0;C;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1016;112.;71-DESBOIS Alexandre;8;0;8;0;0;0;0;0;0;0;0;V;0;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1013;113.;71-DESMARIS Claude;8;0;0;8;0;0;0;0;0;0;0;A;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,1009;114.;71-DEVILLE Xavier;8;0;0;0;1;1;6;0;0;0;0;S;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0974;115.;71-ETIEVANT Stéphane;8;0;0;8;0;0;0;0;0;0;0;A;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,095;116.;71-FEVRAT Paul(cadet);8;0;0;0;8;0;0;0;0;0;0;C;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0949;117.;71-FEVRE Raphael;8;0;0;0;0;8;0;0;0;0;0;J;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0938;118.;71-FUSTER Louis;8;0;0;0;0;0;8;0;0;0;0;SA;1;6;0;1;0;0;87,50;12,50;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0921;119.;71-GEGA Julien;8;0;2;6;0;0;0;0;0;0;0;E;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0907;120.;71-GIRARDEAU Sulyvan;8;0;8;0;0;0;0;0;0;0;0;E;1;6;0;1;0;0;87,50;12,50;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0892;121.;71-GRAPIN Laetitia(F);8;0;0;0;0;0;8;0;0;0;0;V;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0862;122.;71-HUOT Vincent;8;0;8;0;0;0;0;0;0;0;0;V;0;5;0;3;0;0;62,50;37,50;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0838;123.;71-LACHAUME Mathéo;8;0;0;0;6;0;0;0;2;0;0;C;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0834;124.;71-LARDY Maxence;8;0;2;5;0;0;0;0;0;0;1;C;1;6;0;1;0;0;87,50;12,50;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0736;125.;71-MULLER Thierry;8;0;0;7;1;0;0;0;0;0;0;SV;0;6;0;2;0;0;75,00;25,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0729;126.;71-NOYER Thibault;8;0;8;0;0;0;0;0;0;0;0;S;0;7;0;1;0;0;87,50;12,50;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0718;127.;71-PANZA Christophe;8;0;0;0;8;0;0;0;0;0;0;SV;0;8;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0611;128.;71-TALPIN Frédéric;8;0;7;0;0;0;0;0;0;0;1;V;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0606;129.;71-THIBERT Sylvain;8;0;8;0;0;0;0;0;0;0;0;SV;1;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;8000,0571;130.;71-ZACCHIA Tony;8;0;0;0;0;7;0;0;0;0;1;A;0;4;0;4;0;0;50,00;50,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1227;131.;71-ALENDA Nathan;7;0;7;0;0;0;0;0;0;0;0;E;1;5;0;1;0;0;85,71;14,29;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1171;132.;71-BERTHAUT Abel;7;0;0;0;2;5;0;0;0;0;0;C;1;6;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1141;133.;71-BOSC Noah(cadet);7;0;0;0;7;0;0;0;0;0;0;C;1;6;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1126;134.;71-BREGAND Benoit;7;0;0;1;6;0;0;0;0;0;0;V;0;5;0;2;0;0;71,43;28,57;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,109;135.;71-CHANUT Roger;7;0;0;0;0;0;7;0;0;0;0;SA;1;5;0;1;0;0;85,71;14,29;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1074;136.;71-CLERC Albert;7;0;0;0;0;1;6;0;0;0;0;SA;1;7;0;0;0;0;114,29;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1057;137.;71-COULAUD Eric;7;0;6;0;0;0;0;0;0;0;1;SV;1;6;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1032;138.;71-DEGRANGE Jérome;7;0;1;6;0;0;0;0;0;0;0;V;1;6;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1031;139.;71-DEGRANGE Lucas;7;0;0;0;0;0;0;0;7;0;0;M;1;6;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1006;140.;71-DORLAND Jean-Luc;7;0;0;0;0;7;0;0;0;0;0;A;0;4;0;3;0;0;57,14;42,86;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,1005;141.;71-DOUBLOT Ludovic;7;0;0;0;0;6;0;0;0;0;1;V;0;1;0;6;0;0;14,29;85,71;0,00;;;;;;;;;;;;;;
non utilisé;non utilisé;7000,0918;142.;71-GENETET Thomas;7;0;0;0;7;0;0;0;0;0;0;SV;0;7;0;0;0;0;100,00;0,00;0,00;;;;;;;;;;;;;;
